1317 9
0 0 0 1 1 1 1 1 1 Brigantiaea_cf_leucoxantha
0 0 0 1 0 0 1 0 0 Aspicilia_dudinensis
0 0 0 1 0 1 1 1 1 Everniastrum_nepalense
0 0 0 1 0 0 1 0 0 Remotrachyna_scytophylla
1 1 1 1 1 0 1 0 0 Lasallia_pennsylvanica
0 0 0 0 0 0 1 0 0 Stictis_brunnescens
0 0 0 1 0 1 1 1 1 Parmelia_discordans
1 1 1 1 0 0 1 0 0 Sphaeropezia_capreae_0
0 0 0 1 0 0 1 0 0 Sphaeropezia_capreae_1
0 0 0 1 0 1 1 1 1 Brodoa_oroarctica
0 0 0 1 0 0 1 0 0 Xanthoparmelia_verrucigera
1 1 1 1 0 1 1 1 1 Heterodermia_vulgaris
0 0 0 1 0 0 1 0 0 Leptochidium_albociliatum_1
0 0 0 1 1 0 0 0 0 Stereocaulon_vesuvianum
0 0 0 1 0 0 1 0 0 Xanthoparmelia_angustiphylla
0 0 0 1 0 0 1 0 0 Fissurina_marginata
0 0 0 1 0 0 1 0 0 Caloplaca_xantholyta
0 0 0 1 0 1 1 1 1 Varicellaria_velata
0 0 0 1 1 0 1 0 0 Sipmaniella_sulphureofusca
0 0 0 1 0 0 1 0 0 Thelotrema_monospermum
0 0 0 1 0 1 1 1 1 Brodoa_intestiniformis
0 0 0 1 1 0 1 0 0 Lecidea_plana
1 1 1 1 0 0 1 0 0 Sphaeropezia_arctoalpina
0 0 0 1 0 0 1 0 0 Fissurina_triticea
0 0 0 1 0 0 1 0 0 Boreoplaca_ultrafrigida_1
0 0 0 1 0 1 1 1 1 Boreoplaca_ultrafrigida_0
0 0 0 1 0 1 1 1 1 Flavopunctelia_flaventior_0
0 0 0 1 0 1 1 1 1 Lecanora_sulphurea_0
0 0 0 0 1 0 1 0 0 Hyperphyscia_adglutinata
0 0 0 1 0 0 1 0 0 Emchylium_tenax
0 0 0 1 0 0 1 0 0 Hypotrachyna_taylorensis
0 0 0 1 0 0 1 0 0 Remotrachyna_flexilis
1 1 1 1 0 0 1 0 0 Lopadium_disciforme
0 0 0 1 0 1 1 1 1 Lecanora_sulphurea_1
0 0 0 1 0 1 1 1 1 Pertusaria_subverrucosa
0 0 0 1 0 0 1 0 0 Arctomia_interfixa
0 0 0 1 0 0 1 0 0 Lecidea_diapensiae
1 1 1 1 0 0 1 0 0 Mycoblastus_affinis
0 0 0 1 0 0 1 0 0 Xanthoparmelia_transvaalensis
0 0 0 1 1 0 0 0 0 Bellemerea_alpina
1 1 1 1 1 0 1 0 0 Ochrolechia_juvenalis
1 1 1 1 1 0 1 0 0 Gyalecta_jenensis
0 0 0 1 0 1 1 1 1 Pycnora_praestabilis
0 0 0 1 1 0 1 0 0 Umbilicaria_muehlenbergii_0
0 0 0 1 0 0 1 0 0 Everniastrum_cirrhatum
0 0 0 1 1 0 1 0 0 Nephromopsis_ornata
0 0 0 1 0 0 1 0 0 Xanthoparmelia_subprolixa
0 0 0 0 0 0 1 0 0 Seirophora_contortuplicata
0 0 0 1 1 1 1 1 1 Teloschistes_exilis_1
1 1 1 1 1 1 1 1 1 Teloschistes_exilis_0
0 0 0 1 0 0 1 0 0 Pycnora_sorophora
0 0 0 1 1 0 1 0 0 Vulpicida_juniperinus
1 1 1 1 1 0 1 0 0 Coccotrema_maritimum
0 0 0 1 1 1 1 1 1 Arctoparmelia_centrifuga
0 0 0 1 0 1 0 1 1 Gyalecta_herculana
0 0 0 1 0 1 1 1 1 Pertusaria_leioplaca
0 0 0 1 0 1 1 1 1 Cladonia_peziziformis
0 0 0 1 1 1 1 1 1 Romjularia_lurida
0 0 0 1 1 1 1 1 1 Ophioparma_ventosa_0
0 0 0 1 1 0 1 0 0 Ophioparma_ventosa_1
0 0 0 1 0 1 1 1 1 Bellemerea_diamarta
0 0 0 1 1 1 1 1 1 Megaspora_verrucosa_0
0 0 0 1 1 0 1 0 0 Megaspora_verrucosa_1
0 0 0 1 1 0 1 0 0 Evernia_esorediosa
0 0 0 1 0 0 1 0 0 Sulcaria_virens
1 1 1 1 1 0 0 0 0 Eiglera_flavida
0 0 0 1 0 0 1 0 0 Sagedia_simoensis
0 0 0 1 0 0 1 0 0 Schadonia_fecunda
0 0 0 1 0 0 0 0 0 Psorula_rufonigra
0 0 0 1 0 0 1 0 0 Thelotrema_bicinctulum
0 1 1 1 0 1 1 1 1 Diploschistes_cinereocaesius_0
1 1 1 1 1 1 1 1 1 Diploschistes_cinereocaesius_1
0 0 0 1 0 0 1 0 0 Aspicilia_indissimilis
0 0 0 1 0 0 1 0 0 Phaeographis_caesioradians
0 0 0 1 0 1 1 1 1 Xanthoparmelia_saxeti
1 1 1 1 1 1 1 1 1 Massjukiella_polycarpa_0
1 1 1 0 0 0 1 0 0 Odontotrema_phacidioides
0 0 0 1 1 0 1 0 0 Xylographa_soralifera
1 1 1 1 0 1 1 1 1 Placynthiella_religinosa
1 1 1 1 1 1 1 1 1 Lopezaria_versicolor
0 0 0 1 1 0 1 0 0 Pseudocyphellaria_rainierensis
1 1 1 1 1 1 1 1 1 Dibaeis_baeomyces_0
1 1 1 1 1 0 1 0 0 Dibaeis_baeomyces_1
1 1 1 1 0 1 1 1 1 Toninia_cinereovirens
0 0 0 1 1 0 1 0 0 Sarcogyne_regularis_1
1 1 1 1 1 1 1 1 1 Acarospora_laqueata
0 0 0 1 0 0 1 0 0 Placopsis_rhodophthalma
0 0 0 1 1 1 0 1 1 Usnea_florida_0
0 0 0 0 1 1 0 1 1 Usnea_florida_1
1 1 1 0 0 0 1 0 0 Biatora_meiocarpa
1 1 1 1 1 1 1 1 1 Menegazzia_terebrata
1 1 1 1 1 1 1 1 1 Physcia_aff._aipolia
0 0 0 1 1 1 1 1 1 Micarea_adnata
0 0 0 1 0 0 1 0 0 Xanthoparmelia_tinctina
1 1 1 1 1 1 0 1 1 Echinoplaca_strigulacea
0 0 0 1 1 0 1 0 0 Caloplaca_marina
0 0 0 1 0 1 1 1 1 Lepraria_bergensis
0 0 0 1 0 1 0 1 1 Usnea_dasypoga
0 0 0 1 1 0 0 0 0 Caloplaca_gomerana_0
0 0 0 1 1 0 1 0 0 Stictis_urceolatum_0
1 1 1 0 0 0 1 0 0 Stictis_urceolatum_1
0 0 0 1 0 0 1 0 0 Cladia_schizopora
1 1 1 1 1 0 1 0 0 Stictis_radiata
0 0 0 1 0 0 1 0 0 Hypotrachyna_immaculata
0 0 0 1 0 0 1 0 0 Remotrachyna_adducta
0 0 0 1 0 0 1 0 0 Byssolecania_variabilis
0 0 0 1 0 1 1 1 1 Schaereria_corticola
0 0 0 1 0 0 1 0 0 Xanthoparmelia_pulla
0 0 0 1 1 1 0 1 1 Haematomma_persoonii
0 0 0 1 0 0 1 0 0 Thelotrema_sp
0 0 0 1 1 0 0 0 0 Peltigera_britannica
0 0 0 1 0 0 1 0 0 Chroodiscus_australiensis
1 1 1 0 0 0 1 0 0 Thamnolecania_brialmontii
0 0 0 1 0 0 1 0 0 Xanthoparmelia_lithophiloides
1 1 1 1 0 1 1 1 1 Niebla_cephalota
1 1 1 1 1 0 0 0 0 Peltigera_membranacea
1 1 1 1 1 1 1 1 1 Punctelia_rudecta
1 1 1 1 1 0 0 0 0 Fuscidea_lygaea
0 0 0 1 1 0 1 0 0 Rhizocarpon_hochstetteri
1 1 1 0 1 0 1 0 0 Rhizocarpon_oederi
1 1 1 1 1 1 1 1 1 Platismatia_glauca_0
0 0 0 1 1 1 1 1 1 Platismatia_glauca_1
0 0 0 1 0 0 1 0 0 Allographa_ruiziana
0 0 0 0 0 0 1 0 0 Porina_lectissima
0 0 0 0 1 0 1 0 0 Buellia_aethalea
0 0 0 1 0 0 1 0 0 Gyalecta_truncigena
