298 3
0 1 0 Potamophila
0 1 0 Prosphytochloa
1 1 1 Psathyrostachys
1 0 1 Pseudoroegneria
1 1 1 Pseudosasa
0 0 1 Pseudostachyum
1 0 1 Psilurus
1 0 1 Puccinellia
1 0 0 Puelia
0 0 1 Racemobambos
1 1 1 Raddia
1 1 1 Restio
0 0 1 Rhipidocladum
1 1 0 Rhynchelytrum
0 1 0 Rhynchoryza
1 1 0 Rytidosperma
1 1 1 Saccharum
1 1 0 Sacciolepis
1 1 1 Sasa
0 1 0 Schedonnardus
1 0 0 Schedonorus
1 0 0 Schismus
0 0 1 Schizachyrium
1 1 1 Schizostachyum
0 1 0 Schmidtia
0 0 1 Sclerochloa
1 0 1 Secale
1 1 1 Sesleria
1 1 1 Setaria
1 1 1 Shibataea
1 0 0 Simplicia
1 1 1 Sinobambusa
1 1 0 Sorghastrum
1 1 1 Sorghum
1 1 1 Spartina
0 0 1 Spartochloa
0 0 1 Sphenopus
1 1 1 Spodiopogon
1 1 1 Sporobolus
1 0 0 Stenostachys
1 1 0 Stenotaphrum
1 1 1 Stipa
1 0 0 Stipagrostis
1 1 1 Streptochaeta
1 0 0 Streptogyna
1 0 0 Styppeiochloa
1 1 1 Taeniatherum
0 1 0 Tetrachne
0 1 0 Tetrapogon
1 1 1 Thamnocalamus
0 0 1 Themeda
1 0 1 Thinopyrum
1 1 1 Thyrsostachys
1 1 1 Thysanolaena
1 1 0 Trachypogon
1 1 1 Tragus
0 1 0 Trichloris
0 1 0 Trichoneura
0 1 0 Tridens
0 1 0 Triodia
1 0 0 Tripsacum
0 1 0 Triraphis
1 1 1 Trisetum
1 1 0 Tristachya
0 1 0 Triticosecale
1 1 1 Triticum
0 1 0 Tuctoria
1 1 0 Uniola
1 1 0 Urochloa
0 1 1 Vaseyochloa
1 1 1 Vulpia
0 0 1 Wangenheimia
1 1 1 Yushania
1 1 1 Zea
1 1 0 Zeugites
1 1 0 Zizania
0 1 0 Zizaniopsis
1 1 1 Zoysia
