627 29
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Passeriformes-oscines_Ptilonorhynchidae_Chlamydera_cerviniventris
1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 Psittaciformes_Psittacidae_Ara_ararauna
0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 Passeriformes-suboscines_Tyrannidae_Elaenia_mesoleuca
1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 Charadriiformes_Alcidae_Brachyramphus_marmoratus
0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 Passeriformes-oscines_Cisticolidae_Apalis_thoracica
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 Passeriformes-oscines_Cardinalidae_Chlorothraupis_olivacea
0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 Accipitriformes_Accipitridae_Spizaetus_isidori
1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 Psittaciformes_Psittacidae_Anodorhynchus_leari
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 1 1 Anseriformes_Anatidae_Anas_platyrhynchos
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 Falconiformes_Falconidae_Falco_punctatus
0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 Passeriformes-oscines_Acanthizidae_Acanthiza_pusilla
1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 Anseriformes_Anatidae_Anser_indicus
0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 Accipitriformes_Accipitridae_Buteo_rufofuscus
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 Passeriformes-suboscines_Tyrannidae_Polioxolmis_rufipennis
1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 Anseriformes_Anatidae_Anas_querquedula
0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 Passeriformes-suboscines_Furnariidae_Lepidocolaptes_angustirostris
0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 Apodiformes_Apodidae_Collocalia_linchi
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 Passeriformes-suboscines_Tyrannidae_Pitangus_lictor
0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Charadriiformes_Laridae_Rissa_brevirostris
